method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,q5,21%,None,MAL,48,M4,0.31235760754709796,0.0018463014322912341
sim,q5,21%,None,MAL,72,M0,0.45542285722000975,8.103864117789738e-4
sim,q5,21%,None,MAL,72,M1,0.04715939504320569,0.0010794572245207655
sim,q5,21%,None,MAL,72,M2,0.10824309853434604,5.282806323009615e-4
sim,q5,21%,None,MAL,72,M3,0.05043030074739875,0.002028362285414976
sim,q5,21%,None,MAL,72,M4,0.33785800275003125,0.003589754813648315
sim,q5,21%,DMSO,MAL,24,M0,0.5621045182466241,0.020246636036249543
sim,q5,21%,DMSO,MAL,24,M1,0.03970056947055489,0.003444114656482311
sim,q5,21%,DMSO,MAL,24,M2,0.0890915057896656,0.005901076403695151
sim,q5,21%,DMSO,MAL,24,M3,0.0226392013546309,0.0018911245130618368
sim,q5,21%,DMSO,MAL,24,M4,0.28646420513852455,0.009010320463010285
sim,q5,21%,DMSO,MAL,48,M0,0.5246095450619195,0.02096934816594503
sim,q5,21%,DMSO,MAL,48,M1,0.0551252249641066,0.0032435486713879753
sim,q5,21%,DMSO,MAL,48,M2,0.10544175249536131,0.005954585915690445
sim,q5,21%,DMSO,MAL,48,M3,0.025181983045078307,0.0013019144171183099
sim,q5,21%,DMSO,MAL,48,M4,0.28964149443353443,0.010469299161748324
sim,q5,21%,DMSO,MAL,72,M0,0.5399199780821597,0.008320497383927206
sim,q5,21%,DMSO,MAL,72,M1,0.04402755522419428,8.106757390854493e-4
sim,q5,21%,DMSO,MAL,72,M2,0.09199729350977523,4.1342297273137124e-4
sim,q5,21%,DMSO,MAL,72,M3,0.040566987243689845,0.0037318456172968496
sim,q5,21%,DMSO,MAL,72,M4,0.2834881859401811,0.004985904532984447
sim,q5,21%,BAY,MAL,24,M0,0.9381315800943032,0.010269802630642698
sim,q5,21%,BAY,MAL,24,M1,3.624493959993926e-4,3.624493959993926e-4
sim,q5,21%,BAY,MAL,24,M2,7.496628541173993e-20,6.138578838842908e-20
sim,q5,21%,BAY,MAL,24,M3,0.012861712562930998,0.0027433305453224413
sim,q5,21%,BAY,MAL,24,M4,0.053061297182382325,0.0060407852020849554
sim,q5,21%,BAY,MAL,48,M0,0.94606987238856,0.009722896574983264
sim,q5,21%,BAY,MAL,48,M1,3.8220891358481575e-4,1.2251001593878715e-4
sim,q5,21%,BAY,MAL,48,M2,-9.541252564435219e-20,1.0988207321239243e-19
sim,q5,21%,BAY,MAL,48,M3,0.015207437125252412,0.0031332630146923366
sim,q5,21%,BAY,MAL,48,M4,0.04347040165741953,0.005800754632932711
sim,q5,21%,BAY,MAL,72,M0,0.9534199536286523,0.00802956661081805
sim,q5,21%,BAY,MAL,72,M1,2.626861289288649e-4,1.3898316415472635e-6
sim,q5,21%,BAY,MAL,72,M2,-1.4089467201373358e-19,2.2233736851381044e-19
sim,q5,21%,BAY,MAL,72,M3,0.014949423612569436,0.0025607906586923327
sim,q5,21%,BAY,MAL,72,M4,0.03714316283034387,0.004499745666159141
sim,q5,0.5%,None,MAL,24,M0,0.8306784695650438,0.01125145493847489
sim,q5,0.5%,None,MAL,24,M1,0.012485061396823417,6.913130872657413e-4
sim,q5,0.5%,None,MAL,24,M2,0.025165347853448698,4.1559769281425754e-4
sim,q5,0.5%,None,MAL,24,M3,0.01717178304500346,0.0010397499622857265
sim,q5,0.5%,None,MAL,24,M4,0.11885575836313665,0.0060943359454877725
sim,q5,0.5%,None,MAL,48,M0,0.7739927119474173,0.02047518624416271
sim,q5,0.5%,None,MAL,48,M1,0.013514294440796966,0.0019295749721037162
sim,q5,0.5%,None,MAL,48,M2,0.034777920233525494,0.003291543595801913
sim,q5,0.5%,None,MAL,48,M3,0.021002856024608087,0.002259207684756897
sim,q5,0.5%,None,MAL,48,M4,0.15671221735365215,0.013266433306408122
